id,nume,lat,lng
407,Rotari,45.0564011,26.3026518
408,Soimesti,45.0452058,26.3074805
409,Ceptura de Sus,45.0313399,26.320589
410,Cerasu,45.3161982,26.0408873
411,Slon,45.3544772,26.038466
412,Valea Borului,45.2920865,26.0342402
413,Valea Bradetului,45.3261249,26.0336664
414,Valea Lespezii,45.333534,26.0419017
415,Valea Tocii,45.3154299,26.03118
416,Chiojdeanca,45.1556979,26.2654742
417,Nucet (Chiojdeanca),45.1524041,26.0967605
418,Trenu,45.1846276,26.2701297
419,Ciorani,44.840542,26.404421
420,Cioranii de Sus,44.839961,26.3957222
421,Cioranii de Jos,44.8216687,26.4092376
422,Cocorastii Mislii,45.083333,25.933333
423,Goruna,45.085588,25.9389713
424,Tiparesti,45.0910235,25.9551278
425,Colceag,44.95,26.35
426,Inotesti,44.963573,26.3597273
427,Parepa-Rusani,44.903849,26.3540935
428,Valcelele,44.939556,26.3785849
429,Cornu,44.833333,26.25
430,Cornu de Sus (Cornu),45.1720536,25.6951178
431,Valea Oprii,45.1658756,25.714298
432,Cornu de Jos (Cornu),45.1530933,25.7064227
433,Cosminele,45.15,25.883333
434,Cosmina de Jos,45.1614623,25.894128
435,Cosmina de Sus,45.1742265,25.8956435
436,Draghicesti,45.1577338,25.9172059
437,Poiana Trestiei,45.1615995,25.8626313
438,Drajna,45.216667,26.05
439,Catunu (Drajna),45.2479125,26.0994325
440,Ciocrac,45.2406894,26.0853964
441,Drajna de Jos,45.222731,26.0588784
442,Drajna de Sus,45.2584101,26.0719195
443,Faget,45.2503139,26.0639978
444,Ogretin,45.2649357,26.0862646
445,Piatra (Drajna),45.2110092,26.056849
446,Pitigoi,45.2197595,26.0659047
447,Plai,45.2171579,26.0842214
448,Podurile,45.2759084,26.0542306
449,Poiana Mierlei,45.2683134,26.1134574
450,Draganesti,44.833333,26.3
451,Baraitaru,44.8607445,26.3470406
452,Belciug,44.8171219,26.2466115
453,Cornu de Jos (Draganesti),44.8418256,26.2699986
454,Hatcarau,44.8100472,26.320584
455,Meri,44.8338913,26.3046438
456,Tufani,44.7989144,26.3253735
457,Dumbrava,44.866667,26.2
458,Ciupelnita,44.8463536,26.2339778
459,Cornu de Sus (Dumbrava),44.8412198,26.2447127
460,Trestienii de Jos,44.8642854,26.2319024
461,Trestienii de Sus,44.8810905,26.2217917
462,Zanoaga,44.866338,26.1628579
463,Dumbravesti,45.083333,26
464,Gavanel,45.0795068,25.9972763
465,Malaestii de Jos,45.1040571,25.9964987
466,Malaestii de Sus,45.1204516,26.003586
467,Plopeni (Dumbravesti),45.0650725,25.9822141
468,Sfarleanca,45.0988399,26.0102046
469,Fantanele,45,26.383333
470,Bozieni,45.0450121,26.3467944
471,Ghinoaica,45.041163,26.3919616
472,Ungureni (Vadu Sapat),45.0330433,26.3868884
473,Vadu Sapat,45.038641,26.3844847
474,Filipestii de Padure,45,25.75
475,Ditesti,44.9792005,25.7296363
476,Minieri,44.9791143,25.7609609
477,Silistea Dealului,45.0151338,25.7122369
478,Filipestii de Targ,44.9686362,25.7940462
479,Bratasanca,44.9321037,25.8087953
480,Ezeni,44.9328917,25.8183921
481,Marginenii de Jos,44.9633753,25.7565688
482,Ungureni (Filipestii de Targ),44.9428608,25.8054566
483,Floresti,45.0264796,25.7968856
484,Cap Rosu,45.0493654,25.7924435
485,Calinesti,45.0172216,25.7810557
486,Catina,45.0078418,25.7837899
487,Novacesti,45.0269885,25.7767254
488,Fulga,44.883333,26.433333
489,Fulga de Jos,44.8817387,26.4431813
490,Fulga de Sus,44.8975011,26.4449702
491,Gherghita,44.7913799,26.2804102
492,Fanari (Olari),44.8003197,26.1886514
493,Independenta,44.8028561,26.2187434
494,Malamuc,44.7960601,26.3067497
495,Olari,44.783333,26.2
496,Olarii Vechi,44.7896351,26.2017841
497,Ungureni (Gherghita),44.7925947,26.2855573
498,Gorgota,44.7841888,26.0822872
499,Crivina,44.7863885,26.0529945
500,Fanari (Gorgota),44.7888892,26.0859065
501,Poienarii Apostoli,44.7732719,26.0558849
502,Potigrafu,44.7795296,26.1013158
503,Gornet,45.116667,26.066667
504,Bogdanesti,45.1423835,26.0661219
505,Cuib,45.132568,26.0768405
506,Nucet (Gornet),45.1524041,26.0967605
507,Gornet-Cricov,45.0770659,26.2594751
508,Coserele,45.0862548,26.2526455
509,Dobrota,45.0996294,26.2897052
510,Priseaca,45.0991647,26.2484875
511,Tarculesti,45.0710311,26.2535213
512,Valea Seaca,45.103449,26.2666297
513,Gura Vadului,45.05,26.4666671
514,Persunari (Gura Vadului),45.0552067,26.4487301
515,Tohani,45.0605793,26.4321554
516,Gura Vitioarei,45.15,26.033333
517,Bughea de Jos,45.1720119,26.0152746
518,Fagetu,45.1351288,26.0228621
519,Fundeni,45.1178696,26.021853
520,Poiana Copaceni,45.1610625,26.0600997
521,Iordacheanu,45.05,26.25
522,Mocesti,45.0533658,26.2440417
523,Plavia,45.0252188,26.2391096
524,Straosti,45.039028,26.2388363
525,Valea Cucului,45.0649098,26.2276303
526,Varbila,45.0459239,26.1930662
527,Izvoarele,45.2826825,25.998219
528,Cernesti,45.2617481,26.0274688
529,Chiritesti,45.2736874,26.0222344
530,Homoraciu,45.2698783,26.0095727
531,Malu Vanat,45.254889,26.0247442
532,Schiulesti,45.2845811,25.9543788
533,Jugureni,45.0956483,26.4371252
534,Boboci,45.0839738,26.4135601
535,Marginea Padurii,45.1029166,26.4154353
536,Valea Unghiului,45.124391,26.4248068
537,Lapos,45.1366,26.3446
538,Glod,45.1390873,26.4513988
539,Laposel,45.1491971,26.3955714
540,Pietricica,45.1632126,26.4489359
541,Lipanesti,45.05,26.016667
542,Satu Nou (Lipanesti),45.0651107,26.0306835
543,Sipotu,45.0440887,26.0170748
544,Zamfira,45.0676107,26.0153272
545,Magurele,45.092973,26.0470261
546,Coada Malului,45.122365,26.0341649
547,Iazu,45.0846895,26.0221117
548,Magureni,45.0654649,25.7283026
549,Cocorastii Caplii,45.0684838,25.7597394
550,Lunca Prahovei,45.0456015,25.7706065
551,Maneciu,45.32353,25.989808
552,Cheia,45.4581462,25.9382467
553,Chiciureni,45.3260849,25.9978053
554,Costeni,45.29944,26.019543
555,Facaieni,45.293301,25.9906882
556,Gheaba,45.3020339,26.0011938
557,Maneciu-Pamanteni,45.2907906,26.0061295
558,Manastirea Suzana,45.3945089,25.9296335
559,Plaietu,45.3427325,25.9861846
560,Maneciu-Ungureni,45.3160917,25.9950202
561,Manesti,44.8708852,25.8486233
562,Baltita,44.8347244,25.8518151
563,Chesnoiu,44.8429379,25.8793846
564,Coada Izvorului,44.8611022,25.8146438
565,Cocorastii Colt,44.8318261,25.8970372
566,Cocorastii Grind,44.8468734,25.8733966
567,Coltu de Jos,44.8256539,25.9096753
568,Ghioldum,44.8379974,25.8843964
569,Gura Crivatului,44.8359917,25.8158181
570,Persunari (Cocorastii Colt),44.8397726,25.8821967
571,Piatra (Cocorastii Colt),44.8406836,25.9385144
572,Satu de Sus,44.8447259,25.8963222
573,Zalhanaua,44.9044247,25.828135
574,Pacureti,45.1418,26.1333
575,Barzila,45.1415461,26.1372265
576,Curmatura,45.1534282,26.144918
577,Matita,45.1417043,26.1671719
578,Slavu,45.1588835,26.123956
579,Paulesti,45.0014594,25.9616923
580,Cocosesti,45.0070327,25.9848756
581,Gageni,45.0211597,25.9473424
582,Paulestii Noi,44.9933904,25.9794694
583,Plopu,45.016667,26.133333
584,Galmeia,45.0338675,26.1099131
585,Harsa,45.0365475,26.1600651
586,Nisipoasa,45.0213411,26.160972
587,Podenii Noi,45.1112242,26.168991
588,Ghiocel,45.0993555,26.161298
589,Mehedinta,45.0972211,26.1750758
590,Nevesteasca,45.0901056,26.216713
591,Podu lui Galben,45.1161432,26.1604252
592,Popesti (Podenii Noi),45.109715,26.2310649
593,Rahova,45.0927258,26.198444
594,Salcioara,45.1080621,26.1882176
595,Sfacaru,45.1055187,26.151478
596,Valea Dulce,45.1153148,26.2057816
597,Poiana Campina,45.133333,25.783333
598,Bobolia,45.0934591,25.7415175
599,Pietrisu,45.1176754,25.7264706
600,Ragman,45.1402268,25.6950224
601,Poienarii Burchii,44.75,26.016667
602,Carbunari,44.7572879,25.9892478
